Country,Continent,Population_growth,Fertility_rate,Mortality_rate_adult_female_per_1000,Mortality_rate_adult_male_per_1000,Adolescent_fertility_rate(births_per_1000_women_ages_15_19),Agricultural_land_(sq_km),Aid_per_capita,Air_transport_passengers_carried,Arable_land,Average_times_firms_spent_in_meetings_with_tax_officials,Average_time_to_clear_exports_through_customs,Birth_rate_crude_per_1000,Death_rate_crude_per_1000,Electric_power_consumption,Forest_area,GDP (constant 2000 US$),Health expenditure per capita (current US$),Hospital beds (per 1000 people),Immunization DPT (% of children ages 12-23 months),Inflation consumer prices (annual %),Internet users (per 100 people),Land area (sq. km),Life expectancy at birth female (years),Life expectancy at birth male (years),Life expectancy at birth total (years),Literacy rate adult total (% of people ages 15 and above),Low-birthweight babies (% of births),Military expenditure (% of GDP),Mortality rate infant (per 1000 live births),Personal computers (per 100 people),Physicians (per 1000 people),Population total,Population female (% of total),Prevalence of HIV total (% of population ages 15-49),Prevalence of overweight (% of children under 5),Ratio of female to male primary enrollment,Ratio of female to male secondary enrollment,Roads total network (km),Smoking prevalence females (% of adults),Smoking prevalence males (% of adults),Surface area (sq. km),Tax revenue (% of GDP)
Cameroon,Sub-Saharan Africa,2,5,420,419,125,91600,23,384059,5960000,NA,NA,36,15,3490000000,212450,1.21E+10,49,NA,80,2,1,465400,51,50,50,NA,NA,1,87,1,NA,17795149,50,5,NA,85,80,NA,NA,NA,475440,NA
Canada,North America,1,2,NA,NA,14,675000,NA,45229860,45660000,NA,NA,10,7,5.59E+11,3101340,8.22E+11,3430,NA,94,2,68,9093510,83,78,80,NA,NA,1,5,88,NA,32312000,50,0,NA,NA,NA,NA,NA,NA,9984670,14
CapeVerde,Sub-Saharan Africa,2,4,104,180,87,740,320,690000,46000,NA,NA,30,5,NA,840,680688576,114,NA,73,0,6,4030,74,68,71,NA,NA,NA,26,11,NA,506807,52,NA,NA,95,107,NA,NA,NA,4030,NA
CaymanIslands,Latin America & Caribbean,2,NA,NA,NA,NA,30,NA,NA,1000,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,44,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,45000,NA,NA,NA,89,92,NA,NA,NA,260,NA
CentralAfricanRepublic,Sub-Saharan Africa,2,5,539,573,122,52200,23,NA,1930000,NA,NA,37,19,NA,227550,914782976,13,NA,40,3,0,623000,46,43,44,NA,NA,1,115,0,NA,4191429,51,11,NA,69,NA,NA,NA,NA,623000,NA
Chad,Sub-Saharan Africa,3,6,298,349,174,492300,38,NA,4200000,NA,NA,46,16,NA,119210,2776428800,22,0,20,8,0,1259200,52,49,51,NA,NA,1,124,0,NA,10145609,50,4,NA,68,33,NA,NA,NA,1284000,NA
ChannelIslands,Europe,0,1,43,81,11,76,NA,NA,3800,NA,NA,10,10,NA,10,NA,NA,NA,NA,NA,NA,190,81,76,79,NA,NA,NA,NA,NA,NA,148622,50,NA,NA,NA,NA,NA,NA,NA,190,NA
Chile,Latin America & Caribbean,1,2,63,132,60,152450,9,5939020,1950000,NA,NA,15,5,5.01E+10,161210,9.32E+10,397,NA,91,3,28,748800,81,75,78,NA,NA,4,8,14,NA,16295102,50,0,NA,96,101,NA,NA,NA,756630,19
China,Asia,1,2,94,155,6,5563280,1,136721623,143296000,NA,NA,12,7,2.32E+12,1972900,1.89E+12,81,2,87,2,9,9327488,74,70,72,NA,2,2,21,4,2,1304500000,48,0,NA,NA,NA,1930544,4,67,9598088,9
Colombia,Latin America & Caribbean,1,2,99,209,69,425570,14,9984424,2004000,NA,NA,20,6,4.00E+10,607280,9.88E+10,201,NA,87,5,11,1109500,76,69,72,93,6,4,17,4,NA,44945790,51,1,4,98,111,164257,NA,NA,1141750,15
Comoros,Indian Ocean,2,4,183,242,53,1480,41,NA,80000,NA,NA,34,7,NA,50,231517984,14,NA,80,NA,3,1861,64,61,63,NA,NA,NA,53,1,NA,600490,50,0,NA,88,76,NA,NA,NA,1861,NA
CongoDem.Rep.,Sub-Saharan Africa,3,6,403,443,225,228000,31,NA,6700000,NA,NA,44,19,5350000000,1336100,5238602752,5,NA,73,21,0,2267050,47,45,46,NA,NA,0,129,0,NA,58740547,50,3,NA,NA,NA,NA,NA,NA,2344860,NA
CongoRep.,Sub-Saharan Africa,2,5,387,414,120,105450,400,NA,495000,NA,NA,36,12,576000000,224710,3975486720,31,NA,65,5,1,341500,56,53,54,NA,13,1,79,1,NA,3609851,50,5,8,92,NA,NA,NA,NA,342000,NA
CostaRica,Latin America & Caribbean,2,2,63,117,74,28950,7,953217,225000,1,3,18,4,7438000000,23910,1.95E+10,327,NA,91,14,21,51060,81,76,79,NA,7,NA,11,23,NA,4327228,49,0,NA,99,106,NA,NA,NA,51100,NA
Coted'Ivoire,Sub-Saharan Africa,2,5,412,437,117,203000,6,NA,3500000,NA,NA,36,16,3165000000,104050,1.04E+10,34,NA,56,4,1,318000,49,47,48,NA,NA,NA,90,2,NA,18584701,49,7,NA,NA,NA,NA,NA,NA,322460,15
Croatia,Europe,0,1,63,163,14,26950,29,1360515,1110000,2,2,10,12,1.54E+10,21350,2.33E+10,651,6,96,3,33,55920,79,72,75,NA,NA,2,6,20,2,4443350,51,0,NA,NA,NA,28472,NA,NA,56540,23
Cuba,Latin America & Caribbean,0,2,76,120,48,65970,8,812781,3665000,NA,NA,11,8,1.30E+10,27130,NA,310,5,99,NA,2,109820,80,76,78,NA,5,NA,5,3,NA,11259905,49,0,NA,97,101,NA,NA,NA,110860,NA
Cyprus,Europe,2,1,42,86,8,1650,NA,1920516,120000,NA,NA,11,7,4213000000,1740,1.09E+10,1350,3,98,3,43,9240,82,77,79,NA,NA,1,4,37,NA,757800,51,0,NA,100,102,NA,NA,NA,9250,27
CzechRepublic,Europe,0,1,61,144,11,42590,NA,4706226,3047000,2,4,10,11,6.49E+10,26480,6.83E+10,868,8,97,2,27,77260,79,73,76,NA,NA,2,3,27,NA,10234092,51,0,NA,99,102,NA,NA,NA,78870,16
Denmark,Europe,0,2,69,111,6,25890,NA,551345,2237000,NA,NA,12,10,3.61E+10,5000,1.71E+11,4350,NA,93,2,53,42430,80,76,78,NA,NA,1,4,70,NA,5415978,50,0,NA,100,103,72257,NA,NA,43090,32
Djibouti,Middle East & North Africa,2,4,327,366,25,17010,95,NA,1000,NA,NA,30,12,NA,60,638120000,54,NA,71,NA,1,23180,56,53,54,NA,16,NA,88,2,0,804206,50,3,NA,82,66,NA,NA,NA,23200,NA
Dominica,Latin America & Caribbean,1,NA,NA,NA,NA,230,290,NA,5000,NA,NA,NA,NA,NA,460,331210880,288,NA,98,2,36,750,NA,NA,NA,NA,NA,NA,13,NA,NA,72000,NA,NA,NA,102,100,NA,NA,NA,750,NA
DominicanRepublic,Latin America & Caribbean,2,3,137,226,110,34200,8,NA,820000,3,11,24,6,9472000000,13760,2.34E+10,197,2,79,4,16,48380,75,69,72,NA,NA,1,26,2,NA,9469601,50,1,NA,95,119,NA,NA,NA,48730,17
Ecuador,Latin America & Caribbean,1,3,92,172,83,75520,17,2011004,1348000,NA,NA,22,5,9332000000,108530,2.08E+10,147,NA,94,2,7,276840,78,72,75,NA,NA,2,22,7,NA,13060993,50,0,NA,100,101,NA,NA,NA,283560,NA
Egypt,Middle East & North Africa,2,3,97,162,43,35200,14,4888146,3000000,NA,NA,25,6,9.07E+10,670,1.20E+11,78,2,98,5,7,995450,73,69,71,71,14,3,30,4,2,72849793,50,0,14,94,92,NA,NA,NA,1001450,14
ElSalvador,Latin America & Caribbean,1,3,129,211,83,17040,30,2540564,660000,NA,NA,24,6,4438000000,2980,1.47E+10,177,1,89,5,10,20720,74,68,71,NA,NA,1,23,5,NA,6668356,51,1,NA,96,102,NA,NA,NA,21040,12
EquatorialGuinea,Sub-Saharan Africa,2,5,354,389,125,3240,80,NA,130000,NA,NA,39,15,NA,16320,3920161280,211,2,33,NA,1,28050,52,49,51,NA,NA,NA,123,2,NA,484098,50,3,NA,95,NA,NA,NA,NA,28050,NA
Eritrea,Sub-Saharan Africa,4,5,333,442,78,76070,78,NA,637000,NA,NA,40,10,NA,15540,756572800,8,NA,97,NA,2,101000,59,54,57,NA,NA,NA,50,1,NA,4526722,51,2,NA,80,59,NA,NA,NA,117600,NA
Estonia,Europe,0,2,100,282,22,8340,NA,577808,591000,2,2,11,13,7494000000,22840,8360443904,516,NA,96,4,51,42390,78,67,73,NA,NA,1,6,48,NA,1346100,54,1,NA,97,101,57016,NA,NA,45230,16
